Standard,Non-Standard
Kahit pa wala iyan,Khit p wla yan
baka hindi siya,bka ndi cia
Kasi hindi siya,Kc ndi cia 
Idol kailangan niyan,lodi Kelangan nyan
ako dapat,aq dpat
Akala ko sila na talaga,kala q cla n talga
dapat iyan kasi,dpat yan kac
hindi ko na sinabi,Diko n cnabi
akala ko kung ano na,kala q kng ano n 
ito hindi naman,i2 hnd nman
Totoo ba ito,22o b i2
Nakakatuwa naman,Nakaka2wa nmn
parang lang naman kayong mag-asawa,parng nlng nmn kaung mgasawa
Ano ba iyan,Ano b yarn
"dapat lang, iyon lang","dpat lng, un lng"
Sana naman may pasabi man lamang,Sna nman my psabi mn lmang
wala ba kayong kaunting respeto,wla b kyong konting respto
hindi na dito,hnd n d2
ninyo lang si idol,nyo lng c lodi
Ano na naman iyan,Ano n nman yan
walanghiya kayo,wlangya kau
Diba kahit ganoon,Dba khit ganon
diba hindi sya,dba indi sya
"hindi dapat ganoon, sinasabi dapat","di dpat ganon, cnasabi dpat"
okay naman pala,ok nman pla
idol dami po namin,lodi dmi po nmin
dinamay ninyo pa si idol,dnamay nyo pa c lodi
Ano kaya iyon,Anu kya un
hindi lang yata naayos,hndi lng ata naaus
Baka hindi,Bka hnd
Kung hindi na kaya,Kng di n kya
kakahiya po simple problem umabot pa jan lodi saludo po kami sa iyo,kakahiya po simple problem umabot pa diyan Idol saludo po kami sayo
kaunti lang pala,unti lng pla
sa daming niyan,s daming nyan
Totoo ba ito,22o b i2 o
iyan ang dapat,yan ang dpat
Magpalit tayo,Mgpalit tau
Pwede ayusin lang,Pedi ayosen lng
parang di ako yan,prang di aq yn
baka lang,bka lng
chismosa pa tuloy ako,mosa p tuloy aq
nabiktima ako,nabiktima aq
Akala ko kung ano na,Kala q kng ano na
Sabi na,Sbi n
ganyan naman na kasi,gnyan nman n kc
Baka naman kasi hindi iyon,Bka nman kac hnd un
parang hindi yan,prang hnd yan
hindi na nakakatawa,hnd n nkakatawa
ano ito,ano to
Akala ko may problema,kala q my problma
Idol sana,lodi sna
Nakaka-bwesit naman ito.,nkka-buset nman to.
Nakakamiss na!,Nkakamiss n!
"kahit ako, magagalit talaga ako","khit aq, magaglit tlaga aq"
"nakakatawa, ayos","nkakatawa, aus"
Pati ba naman iyan,Pti b nman yan
sana huwag kayo,sna wag kau
Gumawa na lang sila,gmawa n lng sla
Nice idol,Nce lodi
okay lang naman iyan sa napakarami ninyo,ok lng nman yan s npakarami nyo
Gumamit ka kasi,Gmamit k kc
Nakakatuwa,Kakatuwa
Ano ba iyan Napaniwala ninyo ako,Ano b yan Napaniwala Nyo ako
Baka nasa sayo,Bka nsa sau
iyong dalawa,ung dalwa
bwesit bakit ako napunta rito tawa ako ng tawa,buset bat aq
lupit idol,lupit lodi
Pwede naman,Pwde nmn
"talaga, ako yon","tlga, aq yon"
lakas naman,lkas nman
dapat diyan na lang iyong dalawa,dpat dyan n lang ung dalwa
Sino ba naglalaba,Cnu b nagllaba
bwesit lang pala,buset lng pla hayyss
baka napangitan na iyan sa iyo,bka napangitan na yan sau
Galing nila,Galng nla
Mga Kulang sa pansin,Mga KSP
Ano ba iyan,Ano b yen
pasikat kasi palaos na,psikat kac palaos n
grabe Kayo,grabe Kyo
dapat makuha iyong mag-asawa,dpat makuha ung magasawa
Baka may problema kayo,Bka my problma kau
akala ko totoo,kala q totoo
ang babaw ng problema ninyo mga idol,ang babaw ng problima nyo mga lodi
baka na liitan siya sayo kaya ganoon,bka n liitan sya sau kya ganun
sa labas nalang kayo,s labas nlang kau
naku may putok ka yata kaya pala,my putok ka ata kya pla
talaga kalokohan si idol dame ko tawa dito,tlaga kalokohan c lodi dame q tawa d2
maiinis sana ako kaloka kayo,maiinis sna aq kloka kau
Ang lakas talaga,Anlakas tlga
Hindi kayo nag uusap talaga,Hndi kau ng uusap tlaga
walang hiya akala ko kung anong problema,langya kala q kung anong problema
Nakakatawa,Nkakatawa
Ok talaga kayo,Ok tlga kau
"dapat kayo na lang, nakakahiya kayo","dpat kyo n lng, nkakahiya kau"
aq dito,aq d2
Nakakatawa naman kayo,Nkakatawa nman kyo
Akala ko totoo,kala q 22o
Sana kayo,Sna kau
pinatawa mo ako,pinatawa mo ko
Bwesit!,Buset!
Walang kwenta,Walng kwenta
Kunwari Lang iyani idoL ,Kunwari Lng Yan dol
Laos na kasi Sila,Laos n kce Sla
baka naman,bka nman
akala ko totoo kasi nakakahiya,kla ko totoo kc nkakahiya
"makakatawa talaga, grabe","mkakatawa tlaga, grabi"
grabe naman kayo akala ko totoo,grabe nman kau kala ko totoo
Baka buntis naglilihi,Bka buntis naglilihi
malakas,sakalam
Joke lang ito,Joke lng to
Baka namannahiya lang,Bka nman nhiya lng
iyong seryoso ka tinitingnan si idol,ung seryoso k tinitingnan c idol
Hindi ba kayo nahihiya?,Hnd b kau nhihiya?
Ikaw Asawa Ikaw Ang malinis sa Asawa mong lalaki ayosin mo sa paglaba,kaw Asawa kaw Ang malinis sa Asawa mong lalaki ayosen mo sa paglaba
sakit sa tiyan tawa ko dito,sakit s tyan tawa q d2
Nakakahiya naman iyan,Nkakahiya nmn Yan
tanong sino ba naglalaba ng damit ninyo,tnong cno b naglalaba ng dmit nyo
hindi naman problema iyan,hndi nman prblema yan
tatanda ninyo na,ttanda nyo n
kala ko totoo na talaga na may problema kayo,kala q 22o q tlaga n my prblema kau
mayroon talaga,meron tlaga
idol lang malakas,lodi lng sakalam
simple lang naman iyang problema ninyo pag usapan ninyo nalang,simple lng nmn yng problema nyo pag usapn nyo nalng
di pwede patagalin sa loob ng tiyan,d pwede patagalin s lub ng tyan
iwasan ninyo ito para di bumabaho,iwasan nyu to pra d bmabahu
reklamo ko din sana itong mga damit ko,reklamo q din sna tong mga damit q
bakit kaya,bkit kya
para mapansin lang kaiyong dalawa,pra mpansin lng kaung dlawa
maligo ka naman kasi,maligo ka nman kc
Sino dito iyong nanghihinayang,cno d2 ung nanghihinayang
Sanaol ganoon lang,Naol ganun lng
nagpapasikat lang,ngpapasikat lng
alam ko na kalokohan ito,alam q n kalokohan to
ngayon ito,ngaun to
akala ko totoo na,kala q totoo n
problema lang labhan ng maayos,problma lng labhan ng maaus
kulitan lang pala,kulitan lng pla
nakakahiya kayo,nkakahiya kau
na sira na yata inyo ulo,na cira na ata inyo ulo
kaloka kayo nakakahiya kayo mag-asawa,kalokA kau nkakahiya kau mg asawa
ikaw ata may kasalanan,kaw ata my kasalanan
Mura lang iyon mga idol,Mura lng un mga lodi
ano ba iyan,ano b yn
Akala ko reklamo hindi pala,kala q reklamo ndi pla
para lang sa ganun,pra lng s gnun
Hindi na kayo,ndi n kau
Anong nangyari Idol,Anyare lodi
nagbasa ako,ngbasa aq 
BAKA LANG,BKA LNG
loko loko itong dalawa,loko2x tong dlawa
nakakahiya kayo,nkakahiya kau
Akala ko talaga,Kala q tlaga
nakakahiya naman kayo,nkakahiya nman kau
Baka kailangan,Bka kelangan
idol ba naman,lodi b nman
Akala ko naman totoo na ito,kala q nman 22o n to
Sorry po natatawa ako,Sori po nttwa aq
Kailangan siguro,Kelangan cguro
nakakahiya talaga kayo,nkakahiya tlga kau
Sayang,Syang
Walang kwenta,Langkwenta
gamit ko araw-araw,yan gmit q araw2
Nakakainis kayo,nkakainis kau
WAG LANG,WG LNG
dahil lang diyan,dhil lng jan
ayos din ako,Aus dn aq
Ayos,Aus
Idol takipan nalang,lodi takpan nlang
akala ko na,kala q n
tawa ko dito,tawa q dto 
padalhan siya,pdalhan sya
bakit di kayo,bkit d kau
akala ko totoo na,kala ko 22o n
idol talaga,lodi tlaga
Nakakahiya naman kayo,Kakahiya nman kau
nakakatuwa lang,nkakatuwa lng
masasabi ko lang,msasabi q lng
Gasgas na iyan,Gas2 n yan
Diyos ko naman,Jusko nman
nagtaka bakit,ngtaka bat
bakit iyon,bat yun
Ayos naman kayo,Ays nman kau
bakit hindi kayo mag ayos,bat hndi kau mg aus
Walanghiya naman,Walangyah nman
nakakaloka talaga,nkakaloka tlaga
Natawa naman ako,Ntawa nman aq
Sabi ko na,Sbi q na
pwede yan,pwd yan
idol talaga,Lodi tlaga
akala ko na totoo,kla q n totoo
iyan talaga,yan tlaga
akala ko totoo,kala q 22o
idol ko pa naman kayong dalawa,lodi q p nman kaung dlawa
Sabi ko na,Sbi k n
Natawa ako,Ntawa aq
Magpalit kayo,Mgpalit kau
Iyon lang naman pala,yun lng nman pla
Nadala ako doon akala ko talaga kasi,Ndala aq dun kala ko tlaga kac
ayusin na lang,ausin n lng
kayo dapat,kau dpat
akala ko lang pala,kala q lng pla
Nagpapansin lang,Nagppansin lng
ngayon naman,ngaun nman
"kasi siya, diba","kz xah, diba"
Diyos ko naman diyan,Jusko nman jan
Nabiktima ako bwiset,Nabiktim aq buset
Idol,Lodi
iyan lang,Yan lng
HAYOP MALAKAS,HYPE SAKALAM
ayos,aus
akala ko lang,kala q lng
sila lang,sla lng
malakas lang,sakalam lng
diyos ko po,jusko po
gusto ninyo lang pagusapan kayo,usto nyo lng pgusapan kau
iyan lang talaga,yan lng tlaga
sigurado di na iyan,cgurado d n yan
Nakakatuwa talaga si idol,Nkakatuwa tlaga c lodi
ngayon lang ako,ngaun lng aq
akala ko pa naman,kala q p nman
Baka naman,Bka nman
Nandito na,Nandto n
para magkaroon,pra mgkaroon
kailangan ni idol,kelangan ni lods
problema ninyo,prblema nyo
Taposin ninyo sila,Tposn nyo cla
Akala ko mayroon ulit,Kala q meron ule
idol anong nangyari,lodi anyare
Nakakahiya naman talaga kayo,Nkakahiya nman tlaga kau
bwiset nakakainis Akala ko talaga,buset nkakainis Kala q tlaga
Hindi siguro,Hnd cguro
Grabe naman pati ba naman iyan hay nako dami problma mas importante kaysa diyan,Grbi amn pti b amn yn i nko dmi prblma mas m4tante kisa dian
Tarantado ka,Tado ka
kayo kasi,kau kc
"Maglinis nalang kayo 
","Mglinis nlng kau
"
Diyos ko,Juice ko
Gumamit k,Gmamit k
para di ganoon,pr d ganun
Talaga nga naman,Talga nga nmn
Bakit ganiyan,Bkit ganyan
Bakit ganoon pwede ninyo naman pagusapan,Bat ganerm pwde nyo nmn pgusapan
akala ko naman totoo,kala q nman totoo
kasi hindi na siguro napapansin,kc hndi n cguro npapansin
Akala ko pwede na ako,kala q pd n aq
Laughtrip kayong dalawa,LT kaung dlawa
akala ko totoo,kla q totoo
wag kayo nakakababa iyan,wg kau nkakababa yan
ganoon naman talaga,gnun nmn tlga
malakas lang,sakalam lng
IdoL ka talaga,Lodi k tlaga
Dahil lang diyan,Dhil lng jan
akala ko totoo iyon,kala q 22o yun
walang hiya kayo,langya kau
sakit sa tainga,skit s tenga
baka lang,bka lang
bakit hindi,bkit hndi
akala aq,Kala aq
Anu ba iyan,Anu b yan
sabi na,sbi n
pwede naman iyan,pwde nman yan
hindi iyan totoo,hndi yan 22o
Akala ko totoo na,kala q totoo n
ako naman,aq nman
idol,Lodi
Hindi naman,Hndi nman
akala ko talaga,kla q tlga
Baka naman,Bka nman
ganoon naman talaga,ganun nman tlaga
akala ninyo,kala nio
Di kaya,D kya
iyon lang pala,Yon lng pla
bwesit iyon,buset yun
tagal ko na gamit iyan,tgal q n gmit yan
iyon lang pala,yon lng pla
iyan solusiyon diyan,yan solusyon dyan
Akala ko may bago na naman,kala ko my bago n nman
talaga may kasalanan niyan,tlaga my ksalanan nyan
bakit parang problema naman iyan,bkit prang problma nmn yan
kinabahan ako talaga,knabhan aq tlga
ako doon,aq don
akala ko naman,kala q nman
ba iyan dami problema,b yan dme prblema
tayo na naman,tau nnman
talaga na,tlaga n
bakit hindi siya,bat hndi sya
na wala na,n wla n 
Akala ko totoo na,Kala q t22o n
nakita ko iyon,nkita q yun
"Hayop, hindi iyon","Hype, hnd yun"
idol talaga,lodi tlaga
nasaan na pala iyon,asan n pla yun
kayo naman,kau nman
Akala kami,kala kmi
Di na ako pwede kasi,Di n aq pede kc
pwede naman,pwd nman
walang usap usap,wlang osap2x
Tapos bakit ganoon na lang,Tpus bat ganun n lng
kailangan dalawa,kelangan dlawa
Nakakatuwa kaiyong dalawa,Nkakatuwa kaung dlawa
iyon lang pala diyos ko,un lng pla jusko
hindi ako,ndi aq
isat isa kasi iyon,isat2 kac yun
idol ko pa rin,lodi q prn
Di kasi ako,D kse aq
"kulang sa pansin lang, laos na kasi kaya gustong pagusapan","ksp lng, laos n kc kya ustong pgusapan"
AYAW KO NA  AW SAKIT,YOKO N AWIT
Baka di lang tapos,Bka d lng tpos
ako doon,aq dun
Aw sakit idol Laugh trip ito,Awit lods LT to
Akala ko Kung Mayroon ulit,Kala q Kng Meron ule
kailangan paba iyan,kelangan pba yan
wala naman,wla nmn
idol talaga,lodi tlga
Gusto ninyo lang iyon,Gsto nio lng un
walang kwentang bagay dalahin ninyo pa dito diyos ko,wlang kwntang bgay dalhin nio p d2 jusko
ako na kasi nanonood ako,aq n kc nano2od aq
parang lang,prang lng
gawa gawa kasi nagpapansin,gawa2 kc nagpa2ncn
sarap ninyo yakapin,srp nyo ykapin
dahil lang pala,dhil lng pla
ito na yata iyon,to n yta yun
sinasabi niya?,cnasabi nya?
dito na idol,d2 n lodi
kanta kana,knta kna
sisikat dito,si2kat d2
maligo ka,mligo k
pasalamat ka magaling ka lang,paslmt k mgaling k lng
ganyan ako,gnyn aq
iyong dito lang,yung d2 lng
may kasalanan ka siguro,my ksalanan k cguro
akala ko palabas na iyon nila,kla q plabas n yun nla
akala ko totoo na,kla q 22o n
magkatabi lang sila,mgkatabi lng cla
nakakatawa,naka2tawa
dami tawa ko sayo,dmi twa q sau
dapat hindi ganyan,dpat d gnyn
totoo ba,22o b
basa ako,bsa aq
walang kwenta,langkwenta
akala ko,kala q
akala ko naman totoo,kala q nmn 22o
may kasambahay ba kayo iyanlang pala problema ninyo,my ksmbhay b kau yn lng pla prblema nyo
napabasa ako habang nanonood,npbasa aq hbang nano2od
tama kasi tag ulan,tma kc tg ulan
akala ko totoo na talaga,kala ko 22o n tlaga
laughtrip ako sa sinabi,lt aq s cnabi
nasa sabon na panlaba iyan,nsa sbon n pnlaba yn
ikaw nalang kasi,ikw nlng kc 
dami ko tawa,dmi q twa
dalawa nalang,dlawa nlang
parang ngayon un,prang ngaun un
gkasi nasa tamang tao siya,ksi nsa tmng tao xa
parang labas tuloy,prang lbas tuloy
iyon nandito ka dahil tsismis ito,un nand2 k dhil tsismis to
nakakahiya naman kayo liit ng problema,nakkhiya nman kau liit ng prblema
lakas tama,lkas tma
sabi ko na eh mabuti nalang tinapos ko,sbi q n e mbuti nlang tinapos q
"akala ko kung ano na, bwesit","kala q kung ano n, buset"
akala ko totoo,kla q 22o
madami kayo,mdami kau
diyos ko,jusko
tama na iyan,tma n yn
lakas pa rin,lkas p rn
ako din gusto ko balikan iyon hahanapin ko ulit iyon,aq dn usto q balikn yun ha2napin q ule yun
siguro ito trip na naman nila kasi okay naman sila,cguro to trip n nmn nla kc oky nmn cla
sa labas nalang kaya kami wala naman sa labas eh,sa lbas nlng kya kmi ala nmn sa lbas e
"akala ko seryosong problema, ayaw ko na ituloy panonood","kala q seryosong prblema, yoko n u2loy pano2od"
idol ko kayo,lodi q kau
bahala ka diyan,bhala k dyn
ano iyan gusto ninyo pag usapan,no yan usto nyo pg usapan
ibig sabihin hindi maayos,ibg sbihin d maays
idol mukha ikaw maglalaba ah,lodi mukha ikw mgla2ba ah
hay nako akala ko totoo diyos ko,hay nko kala q 22o jusko
hindi ako iiwan,d aq iiwan
bakit naman,bat nmn
tama na iyan,tma n yan
bata pa daw siya,bata p dw xa
ang laki ng problema,anlaki ng prblema
nakakaawa,naka2aw
ang babaw naman,an bbaw nmn
idol ang dami ko tawa,lodi andami q tawa
para siguro,pra cguro
gawa kasi kayo,gwa kac kau
parang hindi naman seryoso sinasabi,prang d nman sryso cnasbi
kalokohan lang pala,kalokohn lng pla
ano ba iyan wala naman kwenta kwenta,no b yan ala nman kwenta2x
ikaw talaga idol sabi ko na,kaw tlga lodi sbi q n
iyan lang malakas,yan lng sakalam
paki bigyan iyan,pki bigyan yan
kasi gusto ko, kc gus2 q
hindi pa naman ako,hnd p nmn aq
akala ko kung ano ang problema,kala q kng no ang prblema
ang bait talaga,ambait tlga
papansin lang kayo,pa2nsin lng kau
hindi ako naniwala talaga,d aq naniwla tlga
hindi na,hnd n
walang hiya,langya
dami problema,dmi prblema
wala dito,ala d2
magkatabi lang sila,mgkatabi lng cla
ako lang ba,sq lng b
para mapag usapan kayo,pra mpagusapan kau
ito ba iyon,i2 b yun
akala ko totoo,kala q 22o
ano ba ito,ano b to
baka naman,bka nmn
ang babaw naman pwede naman ayusin,ang ba2w nman pede nman ayusn
nakakahiya kayo,nkakahiya kau
akala ko talaga nag aaway sila,kala q tlga ng aaway cla
madalas pa ako maligo kaysa magsipilyo,mdalas p aq mligo kesa mgsipilyo
kala ko ano na,kala q ano n
sabi na nga eh,sbi n nga e
sabi ko nga ba,sbi k nga b
dapat mag usap kaiyong dalawa labahan mabuti,dpat mg usap kaung dlawa labhan mbuti
parang hindi naman ata totoo,prang d nman ata totoo
patawa po sila,ptawa po cla
hindi kaya siya,d kya xa
simula natalo hindi na,cmula natalo hnd n
para sa akin problema,pra skin prblema
siguro hindi naliligo siya,cguro dnali2go sya
simula noon hanggang ngayon sana maayos niyong dalawa,cmula nun hangang ngaun sna maayus nyong dlawa
di ako talaga,d aq tlaga
baka matanda kana,bka mtanda kna
pwede naman pag usapan ninyo,pwde nman pg uspn nyo
natawa ako,ntawa aq
natatawa ako dito ah,nattawa aq d2 ah
papansin lang iyan,pa2nsin lng yan
kailan ba ang laban nito,kelan b ang lban ni2
ayusin ninyo nalang,ayusin nyo nlang
dapat kasi,dpat kc
tama na iyan,tma n yan
idol ko talaga,lodi q tlaga
Kaya siguro,Kya cguro
sinasabi niyo?,cnasabi nyo?
kanta kana idol,knta kna lodi
maligo ka kuya,mligo k kua
pasalamat ka magaling kang kumanta,paslmt k mgaling kng kmanta
"tama gnyan dn aq, mahilig","tma gnyn dn aq, mhilig"
magkatabi lang sila pareho,mgktbi lng cla preho 
may kasalanan ka siguro,my ksalanan k cguro
akala ko palabas na,kla q plbas n
dami ko tawa sayo,dmi qng twa sau
akala ko naman totoo,kala q nmn 22o
may kasambahay ba kayo? iyon lang pala problema niyo,my ksmbhay b kau? yn lng pla prblema nyo
habang nanonood,hbang nano2od
tama kasi tag ulan,tma kz tg uln
akala ko totoo na,kala q 22o n
magkano kaya binayad?,mgkano kya binayd?
laughtrip ako sa sinabi ni idol,lt aq s cnabi n lodi
nasa sabon na panlaba yan,nsa sbon n pnlaba yn
naku ikaw nalang,nku ikw nlng 
drama lang yan nalang dalawa,drma lng yn nlang dlwa
dami ko tawa,dmi q twa
nakakhiya naman kayo,nakkhiya nmn kau
lakas tama,lkas tma
sabi ko na ,sbi q n
doon na lang kayo,dun n lng kyo
tama na yan,tma n yn
lakas pa rin,lkas p rn
ako din gusto ko balikan iyon hahanapin ko ulit iyon,aq dn usto q balikn yun ha2napin q ult yun
"siguro naman, akala kasi nila","cguro nman, kala kac nla"
sa labas nalang kaya kami?,s lbas nlng kya kmi?
"akala ko seryosong problema, ayaw ko na ituloy panonood","kala q sryosong prblema, yoko n u2loy pano2od"
sino pala sila?,cnu pla sla?
gusto niyo lang naman,usto nyo lng nman
ibig sabihin di maayos,ibg sbihin d maays
akala ko totoo diyos ko,kala q 22o jusko
pakulo naman diyan,pkulo nmn jan
hala bakit naman?,hla bat nmn?
bata pa daw siya,bta p dw xa
ang laki ng problema,anlaki ng prblema 
nakakaawang reklamo,naka2awng rklamo
para siguro mapag usapan sila,pra cguro mpg uspn sla
hiwalayan na naman,hiwalayn n nmn
gawa kasi kayo,gwa kac kau
parang di naman seryoso iyang sinasabi,prang d nmn sryso yang cnasbi
pwede naman pag usapan nalang,pwd nmn pg uspn nlng
di pa naman aq nagbasa,d p nmn aq ngbsa
ang bait talaga,ambait tlga
papansin lang kayo,pa2nsin lng kau
magkatabi lang sila,mgktbi lng cla
para mapag usapan lang kayo,pra mpg uspn lng kau
baka naman,bka nmn
pwede naman ayusin,pede nmn ayusn
nakakahiya na kayo,nkkhiya n kau
mas madalas pa ako maligo kaysa magsipilyo,ms mdalas p aq mligo kesa mgsipilyo
sabi ko nga ba,sbi k nga b
dapat mag usap kaiiyong dalawa,dpt mg usp kaung dlwa
parang di naman,prang d nmn
patawa po silang mag asawa,ptawa po clang mg aswa
hindi kaya pinaglilihian mo lang po siya,d kya pngli2hian m lng po xa
simua natalo kami,cmula ntalo kmi
idol ko iyan simula noon hanggang ngayon,lodi q yn cmula nun hnggng ngaun
nagbabasa ako,ngba2sa aq
nagpahiyaan pa kayo,ngpahiyaan p kau
natatawa ako dito,nattawa aq d2
papansin lang iyan,pa2nsin lng yn
kailan ba yan?,kelan b yan?
diyos ko away mag asawa yan,jusq awy mg aswa yn
nagdududa ako kaya,nagdu2da aq kya
di iyan mag gaganyan kung totoo,d yn mg ga2nyan kng 22o 
magkatabi lang yan sila mag asawa,mgktbi lng yn cla mg aswa 
kasi di naman niya sinabi,kz d nman nea cnabi
idol ko talaga,lodi q tlg
nandito na siya,andi2 n sya
dahil nabasa ko to hindi ko na itutuloy manonood,dhil nbsa q 2 ndi q n itu2loy mano2od
parang may mali dito,prang my mli d2
pumunta lang kayo para magpatawa?,pumnta lng kyo pra mgptawa?
anong nangyari idol,anyari lods
nakakatuwa naman ito,nakktwa nmn 2
mapapakanta ka nalang,mapa2kanta kna lng 
sana magkaayos pa sila,sna mgkaayos p cla
baka gusto lang sumikat,bka usto lng sumikt
wala na daw,wla n dw
idol na idol ko  na dati pa,lodi n lodi q n dti p
wag naman ganoon,wg nmn ganun
Baka nakakalimutan niyo!,Bka naka2limutan nyo!
marami naman ganyan,mrami nmn gnyan 
iyong nanunuod ka pero nagbabasa,yung nanu2od k pro nagba2sa
hindi ganiyan talaga,hnd gnyan tlaga
bakit naman ganoon,bkit nman ganon
grabe talaga panunukso ngayon,grbe tlga panu2kso ngaun
sabi kasi sa akin hindi daw ako maganda,xv kc skin d dw aq mgnda
sayo nalang,sau nlng
oo nga tama naman siya,onga tma nmn xa
di ko naman naintindihan,d q nmn naintndhan
kanya kaniyang bayad tayo,kkb tau
kasi okay lang iyan,kc oky lng yn
bakit naman ako,bat nmn aq
dito na kami,d2 n kmi
sige lang okay lang ako,sge lng oks lng aq
nagkamali na naman tayo dito,ngkmali nnmn tau d2
nakapunta na iyan dito,nkpunta n yan d2
pagnaligo ka lagyan tawas,pgnligo k lgyan twas 
"Grabe talaga, idol ko iyang mag asawa na yan ","Grbe tlga, lodi q yang mg asawa n yn "
May napansin lang ako,My npansin lng aq
natatawa naman ako dito,nttawa nman aq dto
nakakatuwa naman,nkakatuwa nmn
Para mapagusapan lang ulit,Pra mpagusapan lng ule
pasaway ka talaga,saway k tlga
"nakakahiya naman kayo, ano nangyari","nkakahiya nman kau, ano nyari"
sobrang nakakahiya!,sbrang nkakahiya!
Walanghiya! akala ko talaga totoo,Langya! kla q tlaga 22o
Ayos ka talga,Aus k tlaga
idol ko ito,lodi q to
tayo lang malakas,tau lng sakalam
diyos ko naman,jusq nman
bebenta lang rin pala,bbenta lng rn pla
walang kwenta naman,wlang kwnta nman
Kulang sa pansin lang kayo,KSP lng kau
natawa talaga ako,ntawa tlga aq
iyon lang pala,yon lng pla
sa paglalaba lang yan,s pagllaba lng yan
puwedeng pag usapan kahit hindi na lumapit ,pd pg uspan khit ndi n lmapit
gusto ko iyong magkasama sila,usto q yung magksma sla
Kinabahan ako noon,Kinabhan aq nun
iyon lang pala,yun lng pla
kaya pala nakakatawa,kya pla nkakatawa
baka di ka gumamit idol,bka d q gmamit lodi
Mabango talaga sa labas,Mbango tlga s lbas
KULANG LANG IYAN,KLANG LNG YAN
Nakakatuwa na nakakatawa,Nkakatuwa n nkakatawa
nagkahiyaan pa kayo mag asawa naman kayo,ngkahiyaan p kau mg asawa nman kau
wag lang maglinis sa labas,wg lng mglinis s lbas
kasalanan mo pala,ksalanan q pla
ayaw ko naman sila,yko nman sla 
kayo naman talaga,kau nman tlga
Pahingi naman niyan,Penge nman nyan
nakakahiya iyan,nkakahiya yan
ginamit lang ito,gnamit lng to
Kahit naman ako ganoon,Kht nman aq ganun
Diyos ko maliit na bagay,Jusq mliit n bgay
MALAKAS lang talaga,SAKALAM lng talaga
dahil lang sa ganoon,dhil lng s ganun
Grabe naman iyan,Grbe nmn yan
wag ganoon tanggapin kung ano sya,wg ganun tnggapin qng no sya
Ganoon lang pala iyon,Ganun lng pla un
kaya gagamit na ako,kya ggamit n aq
Nakakahiya naman,Nkkahiya nmn
Iyong ganito kasimpleng problema diyos ko,ung gnito ksimpleng prblema jusko
sila naman nagkatuluyan,sla nmn ngkatuluyan
Matutulog na Sana ako nakita ko ito pinanood ko nawala antok ko sa kakatawa,Mtutulog n Sna aq nkita q to pnanuod q nwla antok q s kktwa
di totoo pero tinapos,d 22o pro tnapos
pero di ko alam paano nila nalaman,pro d q lam pano nla nlaman
Grabe naman ikaw iyon,Grbe nman ikw un
alam na tuloy nangyari,lam n tloy nngyari
kasama mo lang naman,ksama m lng nmn
Mukha sila na,Mkha cla n
Gumamit kayo nito,Gmamit kau n2
Kalokohan niyo,Kaloqhan nyo
Natatawa naman ako,Nattawa nmn aq
saludo ako sayo,sludo aq sau
walang kwenta iyan,langkwenta yan
